topic_name,text
politics,"Lib Dems highlight problem debt  People vulnerable to problem debts should be afforded greater protection from banks aggressively promoting financial products, the Lib Dems say.  Vincent Cable says one in eight households already struggle with debt and that will worsen if there is a hike in interest rates or unemployment. The Lib Dems' Treasury spokesman is unveiling a policy aimed at the issue. He wants to see ""proper health checks"" when loans are marketed so people know to take out payment protection.  ""Were economic conditions to deteriorate at all, large numbers of people could be affected because they have borrowed to the limit,"" Mr Cable told BBC News. ""Banks are very aggressively promoting debt in many cases there is a bigger problem ahead."" Mr Cable said the government's Consumer Credit Bill would target some of the ""extreme problems"" such as loan sharking, but ministers had been ""a bit complacent"" about the wider issue of debt levels. He said much of the payment protection currently available was ""extremely expensive"" and there were ""lots of exclusions"".  Mr Cable added that the Office of Fair Trading should investigate the market. Lib Dem leader Charles Kennedy meanwhile is in the middle of a tour of the UK aimed at persuading voters his is the ""real opposition"". Mr Kennedy is visiting a mixture of rural seats, where his party is hoping to make gains from the Conservatives, and urban areas traditionally associated with Labour. Labour say a Lib Dem vote could ""let the Tories in"", while the Tories say the Lib Dems would mean ""higher taxes, soft crime laws, more power to Europe"". Mr Kennedy's tour comes as he, Labour leader Tony Blair and Conservative leader Michael Howard all step up campaigning ahead of the next General Election, widely expected to be held on 5 May.  The Liberal Democrats say in the northern cities, the race is between them and Labour, while in southern seats - particularly the south west - it is between them and the Tories. Speaking to the BBC's Westminster Hour on Sunday, Mr Kennedy said the upcoming general election - widely tipped for 5 May - would be much more unpredictable than any others in ""recent experience"". And he brushed off Labour suggestions a vote for his party would mean letting the Tories in ""by the back door"". ""If you look at the four previous parliamentary by-elections, the Liberal Democrats have demonstrated that, not only can we leapfrog the Conservatives where we start in a third place position, but we can go on to defeat the government. ""That's going to be the story, I think, of this coming general election."" "
politics,"Minister defends hunting ban law  The law banning hunting with dogs in England and Wales is enforceable and ""very clear"", Alun Michael has said.  The rural affairs minister said it would become obvious if people flouted the law, which came into force on Friday, and pretended they were not. Some 270 hunts met legally on Saturday killing a total of 91 foxes - only four were accidentally killed by hounds. But anti-hunt campaigners said there had been widespread intimidation of activists monitoring hunts. Countryside Alliance chairman John Jackson said that Saturday had been a ""massive demonstration by the rural community of support for hunting"". People had turned out ""to show en masse that the Hunting Act was a bad law"", he said adding that foxes and other animals had been killed ""legally"" as far as he was aware.  Although hunting with dogs is now a criminal offence, exercising hounds, chasing a scent trail and flushing out foxes to be shot are still legal. Addressing claims that the new law was unenforceable, Mr Michael told BBC Radio 4's Today Programme: ""There has been a lot of spin about this by those that support hunting. ""The reality is that the law is very clear. You can't chase wild mammals with a pack of dogs, whether the wild mammal is a fox or a deer. ""If people do so and pretend they're not it's going to become very clear. You can't hunt accidentally."" Mr Michael also denied the hunting ban had led to a breakdown of trust between the government and rural communities. He said most people living in the countryside were more concerned with issues like the economy, the health service and their children's future than hunting.  But the League Against Cruel Sports claimed the new act had been broken even though the numbers of foxes killed had fallen. Thousands of hunt supporters turned out at 270 hunts across England and Wales on the first day of the ban, with anti-hunt groups sending out 100 monitors to check the law was not being broken. There were only four arrests - over alleged hunting of hares in Wiltshire - although it was not clear whether they were made under the Hunting Act.  They have been released on bail but police say they may face prosecution under new poaching laws. But Penny Little, who monitored the Bicester Hunt in Oxfordshire, said she had witnessed ""gratuitous, spiteful killing of foxes"". If people tried to ""run circles around this law"" the only outcome would be that it was tightened up, she said. Mike Hobday, from the League Against Cruel Sports, said video evidence of the law being broken would be passed onto police. He said intimidation seemed to have been widespread and called on hunts to do more to stop their supporters intimidating anti-hunt activists videoing hunts. But Mr Jackson, who had been at the Bicester Hunt in Oxfordshire, denied there was any intimidation. "
sport,"Legendary Dutch boss Michels dies  Legendary Dutch coach Rinus Michels, the man credited with developing ""total football"", has died aged 77.  Referred to in the Netherlands as ""the General"", Michels led the Dutch at the 1974 World Cup - when they reached the final only to lose 2-1 to Germany. However, he guided his side to the 1988 European Championship title with a 2-0 win over the Soviet Union in the final. Michels played for Ajax and coached the side to four national titles between 1965-71 and a European Cup in 1971. His 1970s Dutch team was built around Johan Cruyff and Johan Neeskens and introduced the concept of 'total football' to the world. The strategy was to foster team coherence and individual imagination - with all players possessing the skills to play in any part of the pitch. Cruyff was the on-field organiser of a team whose players rotated in and out of defence at will and was encouraged to play creative attacking football. Michels had recently undergone heart surgery and Dutch football federation (KNVB) spokesman Frank Huizinga said: ""He was one of the best coaches we had in history."" The no-nonsense coach also enjoyed spells at Barcelona, who he took to a Spanish title in 1974, FC Cologne and Bayer Leverkusen. Michels, named coach of the century by world football's governing body Fifa in 1999, also won five caps for the Netherlands as a bruising centre forward. Dutch sports minister Clemence Ross-van Dorp said: ""He was the man who, together with Cruyff, made Dutch football big."" "
sport,"Connors boost for British tennis  Former world number one Jimmy Connors is planning a long-term relationship with the Lawn Tennis Association to help unearth the next Tim Henman.  The American spent three days at the LTA's annual Elite Performance winter camp in La Manga earlier this week. ""Britain has the right attitude,"" said Connors. ""The more involved I can be with the LTA, the better. ""A short-term arrangement is just confusing. The kids will ask: 'What am I doing there?'"" LTA chief executive, John Crowther, added: ""The relationship that Jimmy's already started to develop with the coaches and the players has said to us that we'd like some more of it. ""We want to use Jimmy for a number of weeks a year and we hope this is the beginning of a good long-term relationship.""  The camp played host to more than 30 leading senior and junior players, including Greg Rusedski, Arvind Parmar and Anne Keothavong. ""La Manga is an amazing site to take a bunch of kids who want to be the best,"" said Connors, speaking at Queen's Club in London. ""What impressed me most was not only the coaches but the way the kids went about their workouts and the feeling they put into every practice they had. ""It was interesting to me to see kids of 15, 16, 17, with that desire and passion, and that can only be brought about by the coaches surrounding them. ""Instilling the importance of work and practice is something you can't buy. ""They know what's been given to them and all they have to do is give back the effort, and every minute of practice they were doing that.""  Speaking from La Manga, LTA performance director David Felgate told BBC Sport: ""Jimmy was fantastic with the players and the coaches, and very humble considering what he's achieved. ""He worked through the coaches and hopefully it will grow and he'll get to have more of an individual relationship with some of the players and get to know them. ""He made it clear from the word go he didn't want it to be short-term. This is a 52-week-a-year job for me, it's my life and my passion and it's the same with the coaches. ""He respects that but he wants to be involved and have real input. And why would he stake his reputation on something that's not going to be successful?"" Connors has also agreed to commentate for the BBC at next year's Wimbledon Championships. He will work during the second week of the tournament. "
sport,"Sociedad set to rescue Mladenovic  Rangers are set to loan out-of-favour midfielder Dragan Mladenovic to Real Sociedad, despite the closure of the January transfer window.  Sociedad have been given special permission by the Spanish FA to sign a player due to an injury crisis. Mladenovic will effectively replace former Rangers midfielder Mikel Arteta, who has been loaned to Everton. Sociedad say they will pay Rangers ВЈ150,000, with an option to buy the Serbia & Montenegro international. Mladenovic's loan move is subject to him passing a medical. The 28-year-old, who joined Rangers from Red Star Belgrade for ВЈ1.2m in the close season, is expected in San Sebastian later this week following his national side's game against Bulgaria. Sociedad are in 15th place in the 20-strong Primera Liga, just two points above the relegation zone. Special permission from the Spanish FA came after an injury to central defender Igor Jauregi. The versatile Mladenovic can also play in the back four. His agent said last month that Rangers had told him to find the player a new club. Mladenovic's time at Ibrox has been plagued with injury and he has made just six starts in six months with the Glasgow club. "
tech,"Mobile games come of age  The BBC News website takes a look at how games on mobile phones are maturing. A brief round-up follows but you can skip straight to the reviews by clicking on the links below.  If you think of Snake when some mentions ""mobile games"" then you could be in for a bit of a surprise. This is because mobile games have come a long way in a very short time. Even before Nokia's N-Gage game phone launched in late 2003, many mobile operators were realising that there was an audience looking for something to play on their handset.  And given that many more people own handsets than own portable game playing gadgets such as the GameBoy it could be a very lucrative market. That audience includes commuters wanting something to fill their time on the way home, game fans looking for a bit of variety and hard core gamers who like to play every moment they can. Life for all these types of player has got immeasurably better in the last year as the numbers of titles you can download to your phone has snowballed. Now sites such as Wireless Gaming Review list more than 200 different titles for some UK networks and the ranges suit every possible taste. There are ports of PC and arcade classics such as Space Invaders, Lunar Lander and Bejewelled. There are also versions of titles, such as Colin McRae Rally, that you typically find on PCs and consoles.  There are shoot-em-ups, adventure games, strategy titles and many novel games only found on handsets. Rarely now does an action movie launch without a mobile game tie-in. Increasingly such launches are all part of the promotional campaign for a film, understandable when you realise that a good game can rack up millions of downloads. The returns can be pretty good when you consider that some games cost ВЈ5. What has also helped games on mobiles thrive is the fact that it is easier than ever to get hold of them thanks to technology known as Wap push. By sending a text message to a game maker you can have the title downloaded to your handset. Far better than having to navigate through the menus of most mobile operator portals. The number of handsets that can play games has grown hugely too. Almost half of all phones now have Java onboard meaning that they can play the increasingly sophisticated games that are available - even the ones that use 3D graphics.  The minimum technology specifications that phones should adhere to are getting more sophisticated which means that games are too. Now double key presses are possible making familiar tactics such as moving and strafing a real option. The processing power on handsets means that physics on mobile games is getting more convincing and the graphics are improving too. Some game makers are also starting to take advantage of the extra capabilities in a mobile. Many titles, particularly racing games, let you upload your best time to see how you compare to others. Usually you can get hold of their best time and race against a ""ghost"" or ""shadow"" to see if you can beat them. A few games also let you take on people in real time via the network or, if you are sitting close to them, via Bluetooth short-range radio technology. With so much going on it is hard to do justice to the sheer diversity of what is happening. But these two features should help point you in the direction of the game makers and give you an idea of where to look and how to get playing.   TOO FAST TOO FURIOUS (DIGITAL BRIDGES)   As soon as I start playing this I remember why I never play driving games - because I'm rubbish at them. No matter if I drive the car via joystick or keypad I just cannot get the hang of braking for corners or timing a rush to pass other drivers. The game rewards replay because to advance you have to complete every section within a time limit. Winning gives you cash for upgrades. Graphically the rolling road is a convincing enough evocation of speed as the palm trees and cactus whip by and the city scrolls past in the background. The cars handle pretty well despite my uselessness but it was not clear if the different models of cars were appreciably different on the track. The only niggle was that the interface was a bit confusing especially when using a joystick rather than the keypad to play.   FATAL FORCE (MACROSPACE)   A futuristic shooter that lets you either play various deathmatch modes against your phone or run through a series of scenarios that involves killing aliens invading Earth. Graphics are a bit cartoon-like but only helps to make clear what is going on and levels are well laid out and encourage you to leap about exploring. Both background music and sounds effects work well. The scenarios are well scripted and you regularly get hints from the Fatal Force commanders. Weapons include flamethrowers, rocket launchers, grenades and at a couple of points you even get chance to use a mech for a short while. With the right power-up you can go into a Matrix-style bullet time to cope with the onslaught of aliens. The game lets you play via Bluetooth if others are in range. Online the game has quite a following with clans, player rankings and even new downloadable maps. Example table row: value 1 123 value 2 234 value 3 1234. "
tech,"PlayStation 3 processor unveiled  The Cell processor, which will drive Sony's PlayStation 3, will run 10-times faster than current PC chips, its designers have said.  Sony, IBM and Toshiba, who have been working on the Cell processor for three years, unveiled the chip on Monday. It is being designed for use in graphics workstations, the new PlayStation console, and has been described as a supercomputer on a chip. The chip will run at speeds of greater than 4 GHz, the firms said. By comparison, rival chip maker Intel's fastest processor runs at 3.8 GHz. Details of the chip were released at the International Solid State Circuits Conference in San Francisco. The new processor is set to ignite a fresh battle between Intel and the Cell consortium over which processor sits at the centre of digital products. The PlayStation 3 is expected in 2006, while Toshiba plans to incorporate it into high-end televisions next year. IBM has said it will sell a workstation with the chip starting later this year.  Cell is comprised of several computing engines, or cores. A core based on IBM's Power architecture controls eight ""synergistic"" processing centres. In all, they can simultaneously carry out 10 instruction sequences, compared with two for current Intel chips.  Later this year, Intel and Advanced Micro Devices plan to release their own ""multicore"" chips, which also increase the number of instructions that can be executed at once. The Cell's specifications suggest the PlayStation 3 will offer a significant boost in graphics capabilities but analysts cautioned that not all the features in a product announcement will find their way into systems. ""Any new technology like this has two components,"" said Steve Kleynhans, an analyst with Meta Group. He said: ""It has the vision of what it could be because you need the big vision to sell it. ""Then there's the reality of how it's really going to be used, which generally is several levels down the chain from there.""  While the PlayStation 3 is likely to be the first mass-market product to use Cell, the chip's designers have said the flexible architecture means that it would be useful for a wide range of applications, from servers to mobile phones. Initial devices are unlikely to be any smaller than a games console, however, because the first version of the Cell will run hot enough to need a cooling fan. And while marketing speak describes the chip as a ""supercomputer"" - it remains significantly slower than the slowest computer on the list of the world's top 500 supercomputers. IBM said Cell was ""OS neutral"" and would support multiple operating systems simultaneously but designers would not confirm if Microsoft's Windows was among those tested with the chip. If Cell is to challenge Intel's range of chips in the marketplace, it will need to find itself inside PCs, which predominantly run using Windows. "
tech,"PC photo printers challenge printed pictures can be cheaper and higher quality than those from High Street developers, tests shows.  A survey carried out by PC Pro magazine looked at which of 100 home photo printers offered a better deal than handing your snaps to a photo lab. The tests found that images from top PC printers kept their colour longer than professionally produced photographs. But using the wrong printer cartridge could means snaps fade in months, warned the magazine.  The group test of 100 home photo printers for PCs discovered how much it costs to create images using the devices compared to online developers as well as High Street names such as Jessops, Boots and Snappy Snaps. The comprehensive test also revealed how quickly different printers produced images, the quality of the finished image and how resistant finished pictures were to smudging or water damage. It found that although some ink for printers now costs more than ВЈ2 per millilitre it can still be cheaper to produce prints from photographs at home than it is to send them off to a High Street store. ""If you really like your photos, then it's definitely worth printing at home instead of going to the high street, but only if you choose the right printer,"" said Nick Ross, top tester at PC Pro.  Mr Ross said that a new generation of printers produced images with brighter colours and that were less likely to fade than many High Street developers or even some professional wedding photographers. Some High Street photo shops can be the cheapest when it came to developing prints that were 6x4in, said Mr Ross, but the test revealed that images 7x5in and 8x10in in size were cheaper to produce at home. According to PC Pro, producing a print 8x10in on an Epson R800 printer using top quality paper costs ВЈ1.87. At Jessops the same image would cost ВЈ2.50 and at Snappy Snaps ВЈ9.99. A 10x7in snap at Boots would cost ВЈ4.99. ""Considering how inconvenient it can be to go to the High Street and how silver-halide prints can fade in the sun, we're adamant that it's now better, cheaper and more convenient to print at home,"" he said. Ann Simpson, marketing manager at Snappy Snaps believes the convenience of high street printing will continue to attract customers. ""Some people will want to do their own thing on their computer but the feedback to us is that customers often have to print two or three pictures at home in order to get a good one,"" she said. ""Many people are not skilled at getting the colour, contrast and cropping right and they don't want the hassle,"" she added. The magazine test found that which ink consumers use determined how long their prints lasted before they started fading. It recommended avoiding so-called third-party inks not produced by printer makers because they tended to produce prints that fade the quickest. It recommended avoiding so-called third-party inks not produced by printer makers because they tended to produce prints that fade the quickest. It recommended avoiding so-called third-party inks not produced by printer makers because they tended to produce prints that fade the quickest. "
tech,"PC photo printers challenge pros  Home printed pictures can be cheaper and higher quality than those from High Street developers, tests shows.  A survey carried out by PC Pro magazine looked at which of 100 home photo printers offered a better deal than handing your snaps to a photo lab. The tests found that images from top PC printers kept their colour longer than professionally produced photographs. But using the wrong printer cartridge could means snaps fade in months, warned the magazine.  The group test of 100 home photo printers for PCs discovered how much it costs to create images using the devices compared to online developers as well as High Street names such as Jessops, Boots and Snappy Snaps. The comprehensive test also revealed how quickly different printers produced images, the quality of the finished image and how resistant finished pictures were to smudging or water damage. It found that although some ink for printers now costs more than ВЈ2 per millilitre it can still be cheaper to produce prints from photographs at home than it is to send them off to a High Street store. ""If you really like your photos, then it's definitely worth printing at home instead of going to the high street, but only if you choose the right printer,"" said Nick Ross, top tester at PC Pro.  Mr Ross said that a new generation of printers produced images with brighter colours and that were less likely to fade than many High Street developers or even some professional wedding photographers. Some High Street photo shops can be the cheapest when it came to developing prints that were 6x4in, said Mr Ross, but the test revealed that images 7x5in and 8x10in in size were cheaper to produce at home. According to PC Pro, producing a print 8x10in on an Epson R800 printer using top quality paper costs ВЈ1.87. At Jessops the same image would cost ВЈ2.50 and at Snappy Snaps ВЈ9.99. A 10x7in snap at Boots would cost ВЈ4.99. ""Considering how inconvenient it can be to go to the High Street and how silver-halide prints can fade in the sun, we're adamant that it's now better, cheaper and more convenient to print at home,"" he said. Ann Simpson, marketing manager at Snappy Snaps believes the convenience of high street printing will continue to attract customers. ""Some people will want to do their own thing on their computer but the feedback to us is that customers often have to print two or three pictures at home in order to get a good one,"" she said. ""Many people are not skilled at getting the colour, contrast and cropping right and they don't want the hassle,"" she added. The magazine test found that which ink consumers use determined how long their prints lasted before they started fading. It recommended avoiding so-called third-party inks not produced by printer makers because they tended to produce prints that fade the quickest. It recommended avoiding so-called third-party inks not produced by printer makers because they tended to produce prints that fade the quickest. It recommended avoiding so-called third-party inks not produced by printer makers because they tended to produce prints that fade the quickest. "
tech,"processor come pros 43 t6 43 Table data 342 5 3.4. data clear additional 78.0 long-term 43 those)"
tech,"Janice Dean currently serves as senior meteorologist for FOX News Channel (FNC). In addition, she is the morning meteorologist for FNC’s ""FOX and Friends"" (weekdays 6-9AM/ET). She joined the network in January 2004. She is the author of several books. Her latest is ""Mostly Sunny"" (Harper Collins, March 5, 2019) Click here for more information on Janice Dean."
